Rank Only,Rank Change,Name,Assoc,Points
1,,JANG Woojin / LIM Jonghoon, KOR ,4080
2,,FAN Zhendong / WANG Chuqin, CHN ,4040
3,,Yukiya UDA / Shunsuke TOGAMI, JPN ,1615
4,,LEE Sang Su / CHO Daeseong, KOR ,1310
5,,CHO Seungmin / AN Jaehyun, KOR ,1149
6,,Gaston ALTO / Horacio CIFUENTES, ARG ,1004
7,,LIN Gaoyuan / LIN Shidong, CHN ,950
8,,LIM Jonghoon / AN Jaehyun, KOR ,894
9,,CHEN Yuanyu / LIN Shidong, CHN ,769
10,,Patrick FRANZISKA / Dimitrij OVTCHAROV, GER ,700
11,,CHUANG Chih-Yuan / LIN Yun-Ju, TPE ,700
12,,Nandor ECSEKI / Adam SZUDI, HUN ,690
13,,Gustavo GOMEZ / Nicolas BURGOS, CHI ,656
14,,XIANG Peng / LIN Shidong, CHN ,600
15,↑2,NIU Guankai / SAI Linwei, CHN ,584
16,↓1,YUAN Licen / XIANG Peng, CHN ,570
17,↓1,Alexis LEBRUN / Felix LEBRUN, FRA ,564
18,,Finn LUU / Nicholas LUM, AUS ,545
19,↑1,Mizuki OIKAWA / Sora MATSUSHIMA, JPN ,519
20,↑1,Mohamed EL-BEIALI / Mohamed SHOUMAN, EGY ,510
21,↑1,Kristian KARLSSON / Mattias FALCK, SWE ,509
22,↓3,Samuel KULCZYCKI / Maciej KUBIK, POL ,494
23,,Noshad ALAMIYAN / Nima ALAMIAN, IRI ,487
24,↑1,PANG Yew En Koen / QUEK Izaac, SGP ,485
25,↓1,MA Long / YUAN Licen, CHN ,480
26,,Tomas POLANSKY / Darko JORGIC, CZE / SLO ,455
27,,Cedric NUYTINCK / Jakub DYJAS, BEL / POL ,442
28,,Paul DRINKHALL / Liam PITCHFORD, ENG ,439
29,,LEE Sang Su / AN Jaehyun, KOR ,420
30,,LIU Yebo / XU Yingbin, CHN ,417
31,,ZHOU Kai / YU Ziyang, CHN ,415
32,,YUAN Licen / LIN Shidong, CHN ,404
33,,LIAO Cheng-Ting / LIN Yun-Ju, TPE ,400
34,,Shunsuke TOGAMI / Hiroto SHINOZUKA, JPN ,400
35,,JANG Woojin / PARK Ganghyeon, KOR ,400
36,,LIN Gaoyuan / LIANG Jingkun, CHN ,385
37,,Eric JOUTI / Vitor ISHIY, BRA ,364
38,,Ahmed SALEH / Khalid ASSAR, EGY ,360
39,,Dang QIU / Benedikt DUDA, GER ,360
40,,WONG Chun Ting / HO Kwan Kit, HKG ,353
41,,Xin YAN / Xavier DIXON, AUS ,350
