Rank Only,Rank Change,Name,Assoc,Points
1,,WANG Chuqin,CHN,6320
2,,FAN Zhendong,CHN,6040
3,,JANG Woojin,KOR,4980
4,,LIM Jonghoon,KOR,4460
5,,Shunsuke TOGAMI,JPN,3805
6,,Yukiya UDA,JPN,3555
7,↑2,CHO Daeseong,KOR,2520
8,↓1,LIN Shidong,CHN,2265
9,↓1,LEE Sang Su,KOR,2255
10,,Mattias FALCK,SWE,2115
11,↑1,AN Jaehyun,KOR,2000
12,↓1,CHUANG Chih-Yuan,TPE,1995
13,,Benedikt DUDA,GER,1950
14,,Dang QIU,GER,1895
15,↑1,CHO Seungmin,KOR,1748
16,↓1,LIN Yun-Ju,TPE,1659
17,,Anton KALLBERG,SWE,1465
18,,Kristian KARLSSON,SWE,1385
19,,LIN Gaoyuan,CHN,1370
20,,XU Yingbin,CHN,1326
21,↑2,LIAO Cheng-Ting,TPE,1270
22,↓1,Horacio CIFUENTES,ARG,1269
23,↑2,XIANG Peng,CHN,1255
24,↓2,CHEN Chien-An,TPE,1210
25,↓1,Nandor ECSEKI,HUN,1210
26,,Adam SZUDI,HUN,1175
27,,Felix LEBRUN,FRA,1175
28,,Gaston ALTO,ARG,1141
29,,Daniel HABESOHN,AUT,1020
30,,Robert GARDOS,AUT,1020
31,,Cedric NUYTINCK,BEL,909
32,,Alexis LEBRUN,FRA,848
33,,Paul DRINKHALL,ENG,841
34,,Hiroto SHINOZUKA,JPN,837
35,,Darko JORGIC,SLO,805
36,↑2,XU Haidong,CHN,800
37,↓1,Jakub DYJAS,POL,797
38,↓1,CHEN Yuanyu,CHN,790
39,,YUAN Licen,CHN,767
40,,Tomas POLANSKY,CZE,753
41,↑1,Mizuki OIKAWA,JPN,724
42,↓1,Yuto KIZUKURI,JPN,715
43,,Patrick FRANZISKA,GER,700
44,,Dimitrij OVTCHAROV,GER,700
45,,Liam PITCHFORD,ENG,699
46,↑6,CAO Wei,CHN,672
47,↓1,HO Kwan Kit,HKG,670
48,↓1,XUE Fei,CHN,664
49,↓1,WONG Chun Ting,HKG,660
50,↓1,SAI Linwei,CHN,649
51,↓1,Alvaro ROBLES,ESP,629
52,↓1,Ovidiu IONESCU,ROU,629
53,↑78,PARK Ganghyeon,KOR,603
54,↑33,Manav Vikash THAKKAR,IND,570
55,↓2,NIU Guankai,CHN,561
56,↓2,CHEW Zhe Yu Clarence,SGP,561
57,↓2,Lubomir PISTEJ,SVK,560
58,↓2,FENG Yi-Hsin,TPE,556
59,↓2,Nicholas LUM,AUS,549
60,↓2,Finn LUU,AUS,549
61,↓2,Samuel KULCZYCKI,POL,546
62,↑9,Martin ALLEGRO,BEL,530
63,↓3,ZHOU Kai,CHN,528
64,↓3,Maciej KUBIK,POL,526
65,↓3,Adrien RASSENFOSSE,BEL,514
66,↓3,Gustavo GOMEZ,CHI,512
67,↓3,Nicolas BURGOS,CHI,512
68,↓3,Mohamed EL-BEIALI,EGY,510
69,↓3,Mohamed SHOUMAN,EGY,510
70,↓3,Kilian ORT,GER,510
71,↑5,QUEK Izaac,SGP,505
72,↓4,LIANG Jingkun,CHN,495
73,↓4,Nima ALAMIAN,IRI,491
74,↓4,Noshad ALAMIYAN,IRI,491
75,↓3,LIANG Yanning,CHN,471
76,↓3,Ricardo WALTHER,GER,459
77,↓3,Yuta TANAKA,JPN,457
78,↓3,PANG Yew En Koen,SGP,455
79,↓2,YU Ziyang,CHN,453
80,↓2,PENG Wang-Wei,TPE,451
81,↓2,Tomokazu HARIMOTO,JPN,450
82,↑13,Florent LAMBIET,BEL,450
83,↓3,Harmeet DESAI,IND,449
84,↓3,Darius MOVILEANU,ROU,445
85,↓3,Eduard IONESCU,ROU,445
86,↑24,Manush Utpalbhai SHAH,IND,444
87,↓4,Xavier DIXON,AUS,443
88,↓2,Sharath Kamal ACHANTA,IND,439
89,↑10,HUANG Yan-Cheng,TPE,438
90,↓6,LIU Yebo,CHN,436
91,↓6,ZHAO Zihao,CHN,435
92,↓4,Sathiyan GNANASEKARAN,IND,432
93,↓4,Bence MAJOROS,HUN,421
94,↓4,Daniel GONZALEZ,PUR,420
95,↓4,Brian AFANADOR,PUR,420
96,↓4,POH Shao Feng Ethan,SGP,407
97,↓4,Jakub ZELINKA,SVK,404
98,↓4,Niagol STOYANOV,ITA,394
99,↓3,Khalid ASSAR,EGY,380
100,↓3,Jules ROLLAND,FRA,374
101,↓3,Ahmed SALEH,EGY,370
102,↓2,Truls MOREGARD,SWE,363
103,↓2,Xin YAN ,AUS,350
104,↓2,Mihai BOBOCICA,ITA,344
105,↓2,Anders LIND,DEN,340
106,↓2,Bastien REMBERT,FRA,333
107,↓1,Eric JOUTI,BRA,327
108,↓3,Tiago APOLONIA,POR,325
109,↓1,Vitor ISHIY,BRA,324
110,↓3,LAM Siu Hang,HKG,323
111,↓2,Joao MONTEIRO,POR,315
112,↑4,Thibault PORET,FRA,299
113,↓2,CHAN Baldwin Ho Wah,HKG,276
114,↓2,Mehdi BOULOUSSA,ALG,270
115,↓2,Pavel SIRUCEK,CZE,265
116,↓2,LIU Dingshuo,CHN,263
117,↓2,Alberto MINO,ECU,260
118,↓1,Emmanuel LEBESSON,FRA,258
119,,Jishan LIANG ,USA,255
120,↓2,MA Long,CHN,250
121,↓1,Tom JARVIS,ENG,250
122,↓1,Ali ALKHADRAWI,KSA,243
123,↓1,Abdulaziz BU SHULAYBI,KSA,243
124,↓1,Leo DE NODREST,FRA,243
125,↓1,Hugo DESCHAMPS,FRA,229
126,↓1,Emiliano RIOFRIO,ECU,226
127,↓1,Alan KURMANGALIYEV,KAZ,224
128,↓1,Vincent PICARD,FRA,222
129,↓1,Kirill GERASSIMENKO,KAZ,219
130,↓1,Vladislav URSU,MDA,211
131,↓1,Maharu YOSHIMURA,JPN,208
132,,BEH Kun Ting,SGP,198
133,,Taiwo MATI,NGR,196
134,,Jo YOKOTANI,JPN,194
135,,Jiri MARTINKO,CZE,192
136,,Jon PERSSON,SWE,190
137,,Olajide OMOTAYO,NGR,189
138,↑7,Tamas LAKATOS,HUN,185
139,↓1,Larbi BOURIAH,ALG,175
140,↓1,Heimanarii LAFORTUNE,PYF,175
141,↓1,Alfred DELA PENA,NZL,175
142,↓1,Dean SHU,NZL,175
143,↓1,Bydhir CARNET,PYF,175
144,↓1,Lilian BARDET,FRA,174
145,↓1,Andrei PUTUNTICA,MDA,166
146,,Snehit SURAVAJJULA,IND,165
147,,Luka MLADENOVIC,LUX,163
148,,Eric GLOD,LUX,163
149,,NG Pak Nam,HKG,163
150,,Denis ZHOLUDEV,KAZ,160
151,,Kazuhiro YOSHIMURA,JPN,158
152,,Cedric MEISSNER,GER,155
153,,Esteban DORR,FRA,153
154,,YIU Kwan To,HKG,151
155,,Sagantay KURMAMBAYEV,KAZ,150
156,,LIANG Guodong,CHN,150
157,,Jeet CHANDRA,IND,150
158,,Marcos MADRID,MEX,145
159,,Hayate SUZUKI,JPN,140
160,,ZENG Beixun,CHN,139
161,,Carlos FERNANDEZ,PER,134
162,,Csaba ANDRAS,HUN,122
163,,KANG Dongsoo,KOR,118
164,↑2,ZHOU Qihao,CHN,118
165,↓1,Tobias HIPPLER,GER,117
166,↓1,Alexander CHEN,AUT,117
167,,Marcelo AGUIRRE,PAR,115
168,,David SERDAROGLU,AUT,115
169,,Yonghun LEE ,AUS,112
170,,Aleksandar KARAKASEVIC,SRB,112
171,,Angel NARANJO,PUR,112
172,,Edward LY,CAN,111
173,,Navid SHAMS,IRI,111
174,,OH Junsung,KOR,110
175,,HUANG Youzheng,CHN,107
176,,Samuel WALKER,ENG,106
177,,Yuma TANIGAKI,JPN,105
178,,Diogo CHEN,POR,105
179,,Florian BOURRASSAUD,FRA,105
180,↑29,Takuya JIN,JPN,105
181,↑53,Daniel BERZOSA,ESP,105
182,↓2,Chetan NATHOO,RSA,104
183,↓2,Theo COGILL,RSA,104
184,↓2,Milosz REDZIMSKI,POL,104
185,↓2,Can AKKUZU,FRA,102
186,↓1,Sami KHEROUF,ALG,95
187,↑1,Abdelbasset CHAICHI,ALG,95
188,↓4,Rodrigo HIDALGO,PER,94
189,↓3,Mohamed Sofiene BOUDJADJA,ALG,90
190,↓3,Alejandro TORANZOS,PAR,90
191,↓2,Abdoulaye MOHAMED,CMR,90
192,↓2,Nelson NSOH NJI,CMR,90
193,↓2,Adrien Paul PERROT,NCL,90
194,↓2,Kelsey AMOR,NZL,90
195,↓2,Teikimeiteaki KAU-TAI,PYF,90
196,↓2,Ocean BELROSE,PYF,90
197,↓2,Aissa BELKADI,ALG,90
198,↓2,Jeremy DEY,NCL,90
199,↓2,Adrian SOH,NZL,90
200,↓2,Carlos Josue Alberto RIOS ROMERO,VEN,90
201,↓2,Cesar Augusto CASTILLO AROCHA,VEN,90
