Rank Only,Rank Change,Name,Assoc,Points
1,,FAN Zhendong, CHN ,7613
2,,WANG Chuqin, CHN ,6720
3,,MA Long, CHN ,4935
4,,LIANG Jingkun, CHN ,3225
5,,LIN Gaoyuan, CHN ,2785
6,,Felix LEBRUN, FRA ,2782
7,,Hugo CALDERANO, BRA ,2595
8,,LIN Yun-Ju, TPE ,2511
9,,Tomokazu HARIMOTO, JPN ,1910
10,,Dang QIU, GER ,1580
11,,LIN Shidong, CHN ,1560
12,,Quadri ARUNA, NGR ,1425
13,↑1,JANG Woojin, KOR ,1395
14,↑1,Darko JORGIC, SLO ,1340
15,↑1,Truls MOREGARD, SWE ,1320
16,↓3,Dimitrij OVTCHAROV, GER ,1315
17,,Anton KALLBERG, SWE ,1275
18,,LIM Jonghoon, KOR ,1210
19,,Marcos FREITAS, POR ,1168
20,↑1,Alexis LEBRUN, FRA ,1123
21,↓1,Mattias FALCK, SWE ,1025
22,,Omar ASSAR, EGY ,1013
23,,Shunsuke TOGAMI, JPN ,985
24,,ZHOU Qihao, CHN ,975
25,↑1,Patrick FRANZISKA, GER ,872
26,↑1,LEE Sang Su, KOR ,826
27,↑3,Simon GAUZY, FRA ,760
28,↑1,Jonathan GROTH, DEN ,723
29,↓4,Liam PITCHFORD, ENG ,715
30,↓2,Anders LIND, DEN ,702
31,,KAO Cheng-Jui, TPE ,681
32,↑1,Sora MATSUSHIMA, JPN ,623
33,↓1,XIANG Peng, CHN ,595
34,,AN Jaehyun, KOR ,593
35,↑1,Nicholas LUM, AUS ,562
36,↓1,CHUANG Chih-Yuan, TPE ,562
37,,Edward LY, CAN ,544
38,,WONG Chun Ting, HKG ,520
39,,Aditya SAREEN, AUS ,519
40,,Kirill GERASSIMENKO, KAZ ,511
41,,Joao GERALDO, POR ,490
42,↑1,OH Junsung, KOR ,480
43,↑1,Timo BOLL, GER ,475
44,↑1,Ruwen FILUS, GER ,475
45,↑4,Tiago APOLONIA, POR ,470
46,,Benedikt DUDA, GER ,470
47,↑1,Tomislav PUCAR, CRO ,462
48,↓1,CHO Seungmin, KOR ,450
49,↓7,Kristian KARLSSON, SWE ,445
50,↑1,Noshad ALAMIYAN, IRI ,421
51,↓1,CHO Daeseong, KOR ,408
52,,Nicolas BURGOS, CHI ,392
53,,Finn LUU, AUS ,391
54,,Ahmed SALEH, EGY ,367
55,↑2,Andy PEREIRA, CUB ,364
56,↓1,QUEK Izaac, SGP ,359
57,↑2,Andrej GACINA, CRO ,349
58,,Steffen MENGEL, GER ,345
59,↑8,Harmeet DESAI, IND ,335
60,,Yang WANG, SVK ,334
61,,Maharu YOSHIMURA, JPN ,330
62,,Alvaro ROBLES, ESP ,330
63,,Mohamed EL-BEIALI, EGY ,328
64,↑2,Eugene WANG, CAN ,320
65,↑4,Andreas LEVENKO, AUT ,319
66,↓2,YUAN Licen, CHN ,318
67,↓2,Yukiya UDA, JPN ,314
