Rank Only,Rank Change,Name,Assoc,Points
1,,WANG Manyu / SUN Yingsha,CHN,4640
2,,Mima ITO / Hina HAYATA,JPN,2960
3,↑1,Sofia POLCANOVA / Bernadette SZOCS,AUT / ROU,2215
4,↑1,CHENG I-Ching / LI Yu-Jhun,TPE,1984
5,↑1,ZHANG Rui / KUAI Man,CHN,1750
6,↓3,Xia Lian NI / Sarah DE NUTTE,LUX,1590
7,,CHEN Meng / WANG Yidi,CHN,1440
8,↑1,DOO Hoi Kem / ZHU Chengzhu,HKG,1375
9,↑1,Miyu NAGASAKI / Miyuu KIHARA,JPN,1280
10,↑1,Linda BERGSTROM / Christina KALLBERG,SWE,1265
11,↓3,LEE Zion / CHOI Hyojoo,KOR,1115
12,↑1,JEON Jihee / SHIN Yubin,KOR,1025
13,↓1,Manika BATRA / Archana Girish KAMATH,IND,894
14,↑1,Sakura MORI / Asuka SASAO,JPN,842
15,↑2,HUANG Yi-Hua / CHEN Szu-Yu,TPE,758
16,↑2,Miyu NAGASAKI / Miwa HARIMOTO,JPN,755
17,↑4,Camille LUTZ / Prithika PAVADE,FRA,658
18,↓4,Elizabeta SAMARA / Andreea DRAGOMAN,ROU,653
19,↓3,Barbora BALAZOVA / Hana MATELOVA,SVK / CZE,648
20,↑3,Amy WANG / Rachel SUNG,USA,605
21,↑3,CHEN Xingtong / KUAI Man,CHN,600
22,↑3,YANG Ha Eun / JEON Jihee,KOR,595
23,↓4,Sabine WINTER / Nina MITTELHAM,GER,560
24,↑3,QIAN Tianyi / CHEN Xingtong,CHN,555
25,↑1,Chantal MANTZ / Yuan WAN,GER,534
26,↑2,Chunyi FENG / Yangzi LIU,AUS,500
27,↑2,Hana GODA / Alaa YEHIA,EGY,500
28,↓6,Georgina POTA / Dora MADARASZ,HUN,464
29,↑3,Barbora BALAZOVA / Lily ZHANG,SVK / USA,439
30,↑3,QIAN Tianyi / SHI Xunyao,CHN,434
31,,Luca KUMAHARA / Bruna TAKAHASHI,BRA,430
32,↑2,Sutirtha MUKHERJEE / Ayhika MUKHERJEE,IND,420
33,↑2,Maria XIAO / Adina DIACONU,ESP / ROU,416
34,↑3,Miu HIRANO / Hina HAYATA,JPN,400
35,↑3,LEE Ho Ching / CHEN Szu-Yu,HKG / TPE,385
36,↑3,Yousra HELMY / Mariam ALHODABY,EGY,375
37,↓7,WONG Xin Ru / GOI Rui Xuan,SGP,371
38,↑2,Minhyung JEE / Jian Fang LAY,AUS,350
39,↑3,LIU Hsing-Yin / CHENG Hsien-Tzu,TPE,330
40,↑3,HE Zhuojia / SHI Xunyao,CHN,295
41,↑3,FAN Shuhan / XU Yi,CHN,285
42,↑3,CHENG Hsien-Tzu / HUANG Yu-Wen,TPE,280
43,↑3,Sabine WINTER / Xiaona SHAN,GER,280
44,↑3,SHIN Yubin / CHOI Hyojoo,KOR,280
45,↑3,ZANG Xiaotong / WU Yangchen,CHN,268
46,↑3,Debora VIVARELLI / Giorgia PICCOLIN,ITA,255
47,↑3,ZENG Jian / ZHOU Jingyi,SGP,254
48,↑3,HAN Feier / QIN Yuxuan,CHN,235
49,↓13,Suthasini SAWETTABUT / Orawan PARANANG,THA,227
50,↑2,Paulina VEGA / Daniela ORTEGA,CHI,217
51,↑3,Melanie DIAZ / Adriana DIAZ,PUR,215
52,↑3,FAN Siqi / LIU Weishan,CHN,210
53,↑3,Prithika PAVADE / Charlotte LUTZ,FRA,205
54,↑3,Ivana MALOBABIC / Mateja JEGER,CRO,199
55,↑3,Audrey ZARIF / Leili MOSTAFAVI,FRA,190
56,↑3,YOON Hyobin / KIM Nayeong,KOR,180
57,↑3,CHEN Yi / KUAI Man,CHN,180
58,↑5,Maram ZOGHLAMI / Narimene-Hind SIDDEKI,TUN / ALG,175
59,↑5,Jiayi ZHOU / Abbey WEBB,NZL,175
60,↑5,Zhehan Joanna YANG / Cecilia HUANG,NZL,175
61,↑5,Idalys LOVET / Daniela FONSECA CARRAZANA,CUB,175
62,↑5,Katia KESSACI / Lynda LOGHRAIBI,ALG,175
63,↓22,LEE Ho Ching / DOO Hoi Kem,HKG,175
64,↑4,Lily ZHANG / Amy WANG,USA,175
65,↑4,Xiaona SHAN / Miyu NAGASAKI,GER / JPN,175
66,↑4,Fu YU / Jieni SHAO,POR,175
67,↑4,Ana TOFANT / Katarina STRAZAR,SLO,165
68,↑4,WONG Xin Ru / ZHOU Jingyi,SGP,162
69,↑4,LEE Ho Ching / SOO Wai Yam Minnie,HKG,160
70,↑4,LIU Weishan / QI Fei,CHN,158
71,↑4,Sreeja AKULA / Selena SELVAKUMAR,IND,157
72,↓19,Tatiana KUKULKOVA / Ema LABOSOVA,SVK,157
73,↑3,Polina DOBREVA / Hana ARAPOVIC,BUL / CRO,150
74,↑3,LEE Ho Ching / ZHU Chengzhu,HKG,150
