Rank Only,Rank Change,Name,Assoc,Points
1,,FAN Zhendong,CHN,9700
2,,MA Long,CHN,5800
3,,WANG Chuqin,CHN,4955
4,,Tomokazu HARIMOTO,JPN,4195
5,,Hugo CALDERANO,BRA,3875
6,,Truls MOREGARD,SWE,3625
7,,LIANG Jingkun,CHN,3410
8,,LIN Yun-Ju,TPE,2555
9,,Dang QIU,GER,2400
10,,Dimitrij OVTCHAROV,GER,2255
11,,Darko JORGIC,SLO,2250
12,,LIN Gaoyuan,CHN,2130
13,,Quadri ARUNA,NGR,2005
14,,Patrick FRANZISKA,GER,1780
15,,LIM Jonghoon,KOR,1675
16,,Timo BOLL,GER,1565
17,,JANG Woojin,KOR,1525
18,,CHUANG Chih-Yuan,TPE,1495
19,,LIN Shidong,CHN,1470
20,,Yukiya UDA,JPN,1275
21,,LEE Sangsu,KOR,1205
22,,Kristian KARLSSON,SWE,1195
23,,Anton KALLBERG,SWE,1175
24,↑1,Liam PITCHFORD,ENG,1130
25,↑1,Andrej GACINA,CRO,1045
26,↑1,Omar ASSAR,EGY,1045
27,↑1,Alexis LEBRUN,FRA,983
28,↑1,Hiroto SHINOZUKA,JPN,926
29,↑1,WONG Chun Ting,HKG,905
30,↑1,XIANG Peng,CHN,895
31,↑1,Mattias FALCK,SWE,875
32,↑1,Simon GAUZY,FRA,875
33,↑1,Kirill GERASSIMENKO,KAZ,850
34,↑1,Marcos FREITAS,POR,835
35,↑1,Benedikt DUDA,GER,825
36,↑1,Ruwen FILUS,GER,785
37,↑1,YUAN Licen,CHN,732
38,↑1,Felix LEBRUN,FRA,710
39,↑1,Shunsuke TOGAMI,JPN,645
40,↓16,Kanak JHA,USA,639
41,,Yang WANG,SVK,615
42,,ZHOU Qihao,CHN,575
43,,Robert GARDOS,AUT,565
44,,Sathiyan GNANASEKARAN,IND,565
45,,Jon PERSSON,SWE,550
46,,AN Jaehyun,KOR,545
47,,Nicholas LUM,AUS,543
48,,Alvaro ROBLES,ESP,530
49,,Joao GERALDO,POR,525
50,,LIANG Yanning,CHN,520
51,,Tomislav PUCAR,CRO,500
52,,Sharath Kamal ACHANTA,IND,490
53,,Kilian ORT,GER,488
54,,Eugene WANG,CAN,485
55,,Jonathan GROTH,DEN,475
56,,Emmanuel LEBESSON,FRA,470
57,,XU Yingbin,CHN,469
58,,Tiago APOLONIA,POR,465
59,,LIU Dingshuo,CHN,445
60,,Benedek OLAH,FIN,445
61,,Can AKKUZU,FRA,444
62,,CHO Seungmin,KOR,435
63,,FENG Yi-Hsin,TPE,409
64,,Noshad ALAMIYAN,IRI,396
65,,Yaroslav ZHMUDENKO,UKR,385
66,,Xin YAN ,AUS,370
67,,Vitor ISHIY,BRA,369
68,,Daniel HABESOHN,AUT,359
69,,Ricardo WALTHER,GER,355
70,,Martin ALLEGRO,BEL,335
71,,ZHAO Zihao,CHN,334
72,,Kirill SKACHKOV,RUS,334
73,,Yuto KIZUKURI,JPN,325
74,,Yuta TANAKA,JPN,323
75,,Paul DRINKHALL,ENG,319
76,,Mizuki OIKAWA,JPN,312
77,,Marcelo AGUIRRE,PAR,299
78,,Ahmed SALEH,EGY,298
79,,Alberto MINO,ECU,296
80,,XUE Fei,CHN,292
81,,Gustavo TSUBOI,BRA,290
82,,Ibrahima DIAW,SEN,290
83,,Horacio CIFUENTES,ARG,285
84,,Brian AFANADOR,PUR,284
85,,Jakub DYJAS,POL,281
86,,LAM Siu Hang,HKG,280
87,,Filip ZELJKO,CRO,273
88,,LIAO Cheng-Ting,TPE,270
89,,CHEN Yuanyu,CHN,269
90,,Mehdi BOULOUSSA,ALG,267
91,,Panagiotis GIONIS,GRE,265
92,,CAO Wei,CHN,265
93,,Ovidiu IONESCU,ROU,264
94,,Tomas POLANSKY,CZE,261
95,,Bence MAJOROS,HUN,259
96,,KANG Dongsoo,KOR,254
97,↑3,QUEK Izaac,SGP,247
98,↓1,XU Haidong,CHN,245
99,↓1,PANG Yew En Koen,SGP,243
100,↓1,ZHOU Kai,CHN,234
101,,Lubomir PISTEJ,SVK,225
102,,Enzo ANGLES,FRA,218
103,,Lubomir JANCARIK,CZE,217
104,,Xavier DIXON,AUS,216
105,,Cedric NUYTINCK,BEL,216
106,,Cedric MEISSNER,GER,210
107,,Fanbo MENG,GER,209
108,,Alexandre CASSIN,FRA,208
109,,Manush Utpalbhai SHAH,IND,206
110,,Taiwo MATI,NGR,204
111,,Yonghun LEE ,AUS,202
112,,Marcos MADRID,MEX,200
113,,Santiago LORENZO,ARG,197
114,,HO Kwan Kit,HKG,195
115,,Tom JARVIS,ENG,192
116,,Alfred DELA PENA,NZL,185
117,,Jeremy DEY,NCL,185
118,,Daniel GONZALEZ,PUR,185
119,,KAO Cheng-Jui,TPE,184
120,,SUN Wen,CHN,182
121,,Samuel WALKER,ENG,180
122,,Kay STUMPER,GER,178
123,,Mohamed EL-BEIALI,EGY,177
124,,CHEN Chien-An,TPE,177
125,,XU Xin,CHN,175
126,,Joao MONTEIRO,POR,175
127,,Manav Vikash THAKKAR,IND,175
128,,Maciej KUBIK,POL,174
129,,Snehit SURAVAJJULA,IND,171
130,,Niagol STOYANOV,ITA,170
131,,Eric JOUTI,BRA,169
132,,Jules ROLLAND,FRA,164
133,,Amir Hossein HODAEI,IRI,159
134,,Maharu YOSHIMURA,JPN,158
135,,Gaston ALTO,ARG,157
136,,Satoshi AIDA,JPN,156
137,,Harmeet DESAI,IND,153
138,,Ryoichi YOSHIYAMA,JPN,152
139,,CHO Daeseong,KOR,151
140,,SAI Linwei,CHN,148
141,,LIANG Guodong,CHN,141
142,,Masataka MORIZONO,JPN,139
143,,Khalid ASSAR,EGY,139
144,,Florent LAMBIET,BEL,137
145,,Bode ABIODUN,NGR,135
146,,Kazuhiro YOSHIMURA,JPN,133
147,,Deni KOZUL,SLO,131
148,,Steffen MENGEL,GER,130
149,,Bojan TOKIC,SLO,129
150,,Olajide OMOTAYO,NGR,128
151,,Eduard IONESCU,ROU,128
152,,HUANG Yan-Cheng,TPE,123
153,,Cristian PLETEA,ROU,123
154,,LIU Yebo,CHN,121
155,,Rares SIPOS,ROU,121
156,,ZENG Beixun,CHN,121
157,,CHEW Zhe Yu Clarence,SGP,120
158,,Lilian BARDET,FRA,117
159,,Leo DE NODREST,FRA,116
160,,WANG Chen Ce,CHN,114
161,,Hugo DESCHAMPS,FRA,111
162,,NIU Guankai,CHN,110
163,,Maksim GREBNEV,RUS,108
164,,David SERDAROGLU,AUT,107
165,,Adrien RASSENFOSSE,BEL,106
166,,Hayate SUZUKI,JPN,104
167,,Ievgen PRYSHCHEPA,UKR,104
168,,Nima ALAMIAN,IRI,103
169,,Ali ALKHADRAWI,KSA,102
170,,Jeremy HAZIN,CAN,100
171,,Finn LUU,AUS,99
172,,Iulian CHIRITA,ROU,98
173,,Mihai BOBOCICA,ITA,97
174,,Takuya JIN,JPN,96
175,,Mohamed SHOUMAN,EGY,95
176,,Aboubaker BOURASS,TUN,95
177,,Adam SZUDI,HUN,95
178,,PARK Ganghyeon,KOR,94
179,,YAN Sheng,CHN,93
180,,Anders LIND,DEN,93
181,,Vincent PICARD,FRA,93
182,↑1,Oba Kizito OBA,CIV,90
183,↑1,Dean SHU,NZL,90
184,↑1,Ocean BELROSE,PYF,90
185,↑1,Geoffrey LOI,PNG,90
186,↑1,Kelsey AMOR,NZL,90
187,↑1,Dario ARCE,MEX,90
188,↑1,Antoine HACHARD,FRA,90
189,↑1,Nicolas BURGOS,CHI,89
190,↓8,Payas JAIN,IND,88
191,,Juan Jesus GOMEZ,MEX,87
192,,Marek BADOWSKI,POL,87
193,,LI Hon Ming,HKG,87
194,,Samuel KULCZYCKI,POL,82
195,,Pavel PLATONOV,BLR,80
196,,Angel NARANJO,PUR,80
197,,Theo COGILL,RSA,79
198,,Amin AHMADIAN,IRI,79
199,,YU Ziyang,CHN,78
200,,Aleksandr KHANIN,BLR,78
201,,Gustavo GOMEZ,CHI,77
202,,Nandor ECSEKI,HUN,77
203,,Alexander CHEN,AUT,76
204,,Bastien REMBERT,FRA,76
205,,Jorge CAMPOS,CUB,75
206,,Darara Mokonen DUFERA,ETH,75
207,,OH Junsung,KOR,75
208,,KIM Taehyun,AUT,75
209,,Mohammed ABDULWAHHAB,QAT,75
210,,Chetan NATHOO,RSA,74
211,,Darius MOVILEANU,ROU,74
212,,Ioannis SGOUROPOULOS,GRE,73
213,,Tamas LAKATOS,HUN,73
214,,Sanil SHETTY,IND,73
215,,Dimitrije LEVAJAC,SRB,73
216,,Andreas LEVENKO,AUT,72
217,,Sora MATSUSHIMA,JPN,71
218,,Jiri MARTINKO,CZE,71
219,,Lei KOU,UKR,70
220,,Andrei ISTRATE,ROU,68
221,,Alexandre ROBINOT,FRA,67
222,,Jishan LIANG ,USA,67
223,,Mudit DANI,IND,67
224,,Esteban DORR,FRA,67
225,,Thiago MONTEIRO,BRA,66
226,,HUANG Youzheng,CHN,66
227,,Daniele PINTO,ITA,66
228,,Eric GLOD,LUX,66
